AppNexus ID;Lotame ID;Audience Name
1461692;15269;Offline Brand Purchasers - Velveeta
1461697;16131;Offline Brand Purchasers - Vicks
1461698;15866;Offline Brand Purchasers - Wesson
1461699;15913;Offline Brand Purchasers - Whiskas
1463710;16159;Offline Brand Purchasers - Windex
1463712;16317;Offline Brand Purchasers - Wish-Bone
1463713;15922;Offline Brand Purchasers - Wonka
1463714;15926;Offline Brand Purchasers - Wright
1463715;15914;Offline Brand Purchasers - Wrigley's
1438683;13447;Offline Brand Purchasers - Yoplait
1438685;15927;Offline Brand Purchasers - Zest
1438687;16160;Offline Brand Purchasers - Ziploc
1438694;16750;Offline Diet Product Buyer
1438696;16537;Offline High-End Brand Buyer
1438699;16341;Offline Parent Brand Purchasers - Campbell's
1438701;16342;Offline Parent Brand Purchasers - Church & Dwight
1438702;16343;Offline Parent Brand Purchasers - Clorox
1438704;16344;Offline Parent Brand Purchasers - Coca-Cola
1438705;16346;Offline Parent Brand Purchasers - Conagra
1438707;16347;Offline Parent Brand Purchasers - Dannon
1438709;16372;Offline Parent Brand Purchasers - General Mills
1438710;16373;Offline Parent Brand Purchasers - Glaxosmithkline
1438712;16374;Offline Parent Brand Purchasers - Heinz
1438725;16375;Offline Parent Brand Purchasers - Hershey's
1438731;16378;Offline Parent Brand Purchasers - Hormel
1438752;16379;Offline Parent Brand Purchasers - Johnson & Johnson
1438755;16380;Offline Parent Brand Purchasers - Kellogg
1438757;16381;Offline Parent Brand Purchasers - Kimberly-Clark
1438759;16382;Offline Parent Brand Purchasers - Kraft
1438762;16383;Offline Parent Brand Purchasers - Mars
1438764;16384;Offline Parent Brand Purchasers - Mccormick
1438769;16385;Offline Parent Brand Purchasers - Nestle
1438771;16386;Offline Parent Brand Purchasers - Pactiv
1438773;16387;Offline Parent Brand Purchasers - Pepsi
1438779;16388;Offline Parent Brand Purchasers - Proctor & Gamble
1438783;16391;Offline Parent Brand Purchasers - S.C. Johnson & Son
1438788;16400;Offline Parent Brand Purchasers - Sara Lee
1438791;16401;Offline Parent Brand Purchasers - Smucker's
1438793;16402;Offline Parent Brand Purchasers - Tyson
1438794;16403;Offline Parent Brand Purchasers - Unilever
1438797;16348;Offline Parent Brand Purchasers -Del Monte
1438800;16543;Offline Pet Product Buyer
1438802;16430;Offline Product Purchaser - Carbonated Beverages
1438804;16743;Offline Product Purchasers - Automotive
1438805;16427;Offline Product Purchasers - Baby
1438806;16734;Offline Product Purchasers - Baby Care
1463716;16696;Offline Product Purchasers - Baby Food
1463717;16751;Offline Product Purchasers - Baby Formula
1463719;16558;Offline Product Purchasers - Bags-Food Storage
1463720;16589;Offline Product Purchasers - Bags-Trash
1463721;16640;Offline Product Purchasers - Baked Goods-Frozen
1463722;16519;Offline Product Purchasers - Baking Mixes
