Category;Category name;AppNexus;AppNexus Category
IAB23-2;Atheism/Agnosticism;Religion & Belief (Lifestyles);8398
IAB23-3;Buddhism;Religion & Belief (Lifestyles);8398
IAB23-4;Catholicism;Religion & Belief (Lifestyles);8398
IAB23-5;Christianity;Religion & Belief (Lifestyles);8398
IAB23-6;Hinduism;Religion & Belief (Lifestyles);8398
IAB23-7;Islam;Religion & Belief (Lifestyles);8398
IAB23-8;Judaism;Religion & Belief (Lifestyles);8398
IAB23-9;Latter-Day Saints;Religion & Belief (Lifestyles);8398
IAB23-10;Pagan/Wiccan;Religion & Belief (Lifestyles);8398
IAB24;Uncategorized;;#N/A
IAB25;Non-Standard Content;;#N/A
IAB25-1;Unmoderated UGC;;#N/A
IAB25-2;Extreme Graphic/Explicit Violence;;#N/A
IAB25-3;Pornography;;#N/A
IAB25-4;Profane Content;;#N/A
IAB25-5;Hate Content;;#N/A
IAB25-6;Under Construction;;#N/A
IAB25-7;Incentivized;;#N/A
IAB26;Illegal Content;;#N/A
IAB26-1;Illegal Content;;#N/A
IAB26-2;Warez;;#N/A
IAB26-3;Spyware/Malware;;#N/A
IAB26-4;Copyright Infringement;;#N/A
